Company,Valuation ($B),Date Joined,Country,Industry,Select Investors
FiveTran,$1.20,6/30/2020,United States,Data management & analytics,"Matrix Partners, Andreessen Horowitz, General Catalyst"
KKW Beauty,$1,6/29/2020,United States,E-commerce & direct-to-consumer,Coty
Cazoo,$1,6/23/2020,United Kingdom,E-commerce & direct-to-consumer,"dmg ventures, General Catalyst, Octopus Ventures"
Workhuman,$1.20,6/23/2020,Ireland,Internet software & services,ICG
Upgrade,$1,6/17/2020,United States,Fintech,"Union Square Ventures, Ribbit Capital, VY Capital"
Orca Bio,$1,6/17/2020,United States,Health,"Lightspeed Venture Partners, Data Collective, 8VC"
Postman,$2,6/11/2020,United States,Internet software & services,"Nexus Venture Partners, CRV, Insight Partners"
Lilium Aviation,$1,6/9/2020,Germany,Other,"Freigeist Capital, Obvious Ventures, Atomico"
Apeel Sciences,$1,5/26/2020,United States,Other,"Upfront Ventures, Tao Capital Partners, Andreessen Horowitz"
HyalRoute,$3.50,5/26/2020,Singapore,Mobile & telecommunications,Kuang-Chi
Amplitude,$1,5/21/2020,United States,Data management & analytics,"Benchmark, Battery Ventures, Institutional Venture Partners"
Keep,$1,5/19/2020,China,Mobile & telecommunications,"Bertelsmann Asia Investments, GGV Capital, Morningside Venture Capital"
DigitalOcean,$1.15,5/14/2020,United States,Internet software & services,"Andreessen Horowitz, Access Industries, IA Ventures"
Quizlet,$1,5/13/2020,United States,Edtech,"Union Square Ventures, Altos Ventures, Costanoa Ventures"
Dingdong Maicai,$2,5/12/2020,China,E-commerce & direct-to-consumer,"Gaorong Capital, CMC Capital Partners, General Atlantic"
ApplyBoard,$1.50,5/5/2020,Canada,Edtech,"Artiman Ventures, Plug and Play Ventures, Anthos Capital"
ASR Microelectronics,$1.60,4/30/2020,China,Hardware,"Shenzhen Capital Group, Sequoia Capital China, Hillhouse Capital Management"
Figma,$2,4/30/2020,United States,Internet software & services,"Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers"
Emerging Markets Property Group,$1,4/28/2020,United Arab Emirates,Other,"OLX Group, KCK Group, EXOR Seeds"
o9 Solutions,$1,4/28/2020,United States,Artificial intelligence,KKR
VAST Data,$1.20,4/16/2020,United States,Data management & analytics,"Norwest Venture Partners, Goldman Sachs, Dell Technologies Capital"
Podium,$1.50,4/7/2020,United States,Internet software & services,"Accel, Summit Partners, Google Ventures"
Via Transportation,$2.25,3/30/2020,United States,Auto & transportation,"83North, RiverPark Ventures, Pitango Venture Capital"
InSightec,$1.30,3/6/2020,Israel,Health,"York Capital Management, GE Healthcare, Koch Disruptive Technologies"
Headspin,$1.16,2/25/2020,United States,Mobile & telecommunications,"ICONIQ Capital, Dell Technologies Capital, Tiger Global Management"
SentinelOne,$1.10,2/19/2020,United States,Cybersecurity,"Granite Hill Capital Partners, Data Collective, Tiger Global Management"
Udemy,$2,2/19/2020,United States,Edtech,"MHS Capital, Insight Partners, Norwest Venture Partners"
Flywire,$1,2/13/2020,United States,Fintech,"Spark Capital, F-Prime Capital, Kibo Ventures"
Course Hero,$1.10,2/12/2020,United States,Edtech,"NewView Capital, Maveron, Ridge Ventures"
Skydance Media,$2.30,2/11/2020,United States,Other,"RedBird Capital Partners, CJ ENM, Tencent Holdings"
FirstCry,$1.20,2/7/2020,India,E-commerce & direct-to-consumer,"SoftBank Group, SAIF Partners India, Valiant Capital Partners"
Alto Pharmacy,$1,1/30/2020,United States,Health,"Jackson Square Ventures, Greenoaks Capital Management, Softbank Group"
Verkada,$1.80,1/29/2020,United States,Cybersecurity,"next47, First Round Capital, Sequoia Capital"
Pine Labs,$1.60,1/24/2020,India,Fintech,"MasterCard, Temasek, PayPal Ventures"
AppsFlyer,$1.60,1/21/2020,United States,Mobile & telecommunications,"Magma Venture Partners, Pitango Venture Capital, Qumra Capital"
Snyk,$1,1/21/2020,United Kingdom,Cybersecurity,"BOLDstart Ventures, Google Ventures, Accel"
Arrival,$3.91,1/15/2020,United Kingdom,Auto & transportation,"Kia Motors Company, Hyundai Motor Company"
Sisense,$1,1/9/2020,United States,Data management & analytics,"Opus Capital, Genesis Partners, Battery Ventures"
ClassPass,$1,1/8/2020,United States,Internet software & services,"General Catalyst, L Catterton, Acequia Capital"
HighRadius,$1,1/7/2020,United States,Fintech,"Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital"
Loft,$1,1/3/2020,Brazil,E-commerce & direct-to-consumer,"Monashees+, Andreessen Horowitz, QED Investors"
Lenskart,$1.50,12/20/2019,India,E-commerce & direct-to-consumer,"Chiratae Ventures, PremjiInvest, Softbank"
Ripple,$10,12/20/2019,United States,Fintech,"IDG Capital, Venture51, Lightspeed Venture Partners"
Glovo,$1,12/19/2019,Spain,"Supply chain, logistics, & delivery","IDInvest Partners, Seaya Ventures, Lakestar"
Bright Health,$1,12/17/2019,United States,Health,"New Enterprise Associates, Bessemer Venture Partners, Flare Capital Partners"
TELD,$1.12,12/16/2019,China,Fintech,"China Reform Fund, Gaopeng Capital, Jinhui Xingye"
wefox Group,$1.65,12/11/2019,Germany,Fintech,"Salesforce Ventures, Seedcamp, OMERS Ventures"
Nuvei,$2,12/11/2019,Canada,Other,"Caisse de depot et placement du Quebec, Novacap Investments, Goldman Sachs"
Wildlife Studios,$1.30,12/5/2019,Brazil,Other,"Benchmark, Bessemer Venture Partners"
Dataiku,$1.40,12/4/2019,United States,Internet software & services,"Alven Capital, FirstMark Capital, capitalG"
Duolingo,$1.50,12/4/2019,United States,Education,"capitalG, Union Square Ventures, New Enterprise Associates"
Rapyd,$1.20,12/3/2019,United Kingdom,Fintech,"Target Global, General Catalyst, Durable Capital Partners"
Vinted,$1.10,11/27/2019,Lithuania,E-commerce & direct-to-consumer,"Accel, Insight Partners, Burda Principal Investments"
You & Mr Jones,$1.30,11/19/2019,United States,Other,Undisclosed
Guild Education,$1,11/13/2019,United States,Internet software & services,"Redpoint Ventures, Harrison Metal, Bessemer Venture Partners"
ACV Auctions,$1.50,11/12/2019,United States,E-commerce & direct-to-consumer,"Bessemer Venture Partners, Tribeca Venture Partners, Bain Capital Ventures"
MUSINSA,$1.89,11/11/2019,South Korea,E-commerce & direct-to-consumer,Sequoia Capital
Coveo,$1.10,11/06/2019,Canada,Artificial intelligence,"Fonds de Solidarite FTQ, Propulsion Ventures, BDC Venture Capital"
Riskified,$1,11/05/2019,United States,Cybersecurity,"Entree Capital, Genesis Partners, Qumra Capital"
Figure Technologies,$1.20,11/5/2019,United States,Fintech,"DCM Ventures, Ribbit Capital, RPM Ventures"
Faire,$1,10/30/2019,United States,Artificial intelligence,"Khosla Ventures, Forerunner Ventures, Sequoia Capital"
Vacasa,$1,10/29/2019,United States,Travel,"Level Equity, NewSpring Holdings, Riverwood Capital"
Scopely,$1.70,10/29/2019,United States,Mobile & telecommunications,"Greycroft, Sands Capital, Revolution Growth"
Kujiale,$1,10/25/2019,China,Internet software & services,"GGV Capital, IDG Capital, Linear Venture"
KK Group,$1,10/23/2019,China,E-commerce & direct-to-consumer,"Matrix Partners China, Bright Venture Capita, Shenzhen Capital Group"
Instabase,$1.05,10/21/2019,United States,Data management & analytics,"New Enterprise Associates, Greylock Partners, Andreessen Horowitz"
Pendo,$1,10/17/2019,United States,Internet software & services,"Contour Venture Partners, Battery Ventures, Core Capital Partners"
EBANX,$1,10/16/2019,Brazil,Fintech,"FTV Capital, Endeavor"
Grammarly,$1,10/10/2019,United States,Internet software & services,"General Catalyst, Institutional Venture Partners, Breyer Capital"
Huaqin Telecom Technology,$2.19,10/8/2019,China,Mobile & telecommunications,"Zhangjiang Haocheng Venture Capital, Walden International, Intel Capital"
Next Insurance,$1,10/7/2019,United States,Fintech,"Zeev Ventures, Ribbit Capital, TLV Partners"
Dave,$1,9/30/2019,United States,Fintech,"Section 32, SV Angel, Norwest Venture Partners"
RigUp,$1.90,9/30/2019,United States,Internet software & services,"Founders Fund, Quantum Energy Partners, Bedrock Capital"
Checkr,$2.20,9/19/2019,United States,Internet software & services,"Y Combinator, Accel, T. Rowe Price"
