Company,Valuation ($B),Date Joined,Country,City,Industry,Select Investors,unicorn_age,Industry_f,address,Lat,Lon,gCity,Lat2,Lon2
Bytedance,140.0,2017-04-07,China,Beijing,Artificial intelligence,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group",4,artificial intelligence,"字节跳动总部, 双榆树北路, 中关村, 东升地区, 海淀区, 北京市, 100098, 中国",39.970756949999995,116.32344091298253,"北京市, 东城区, 北京市, 100010, 中国",39.906217,116.3912757
Stripe,95.0,2014-01-23,United States,San Francisco,Fintech,"Khosla Ventures, LowercaseCapital, capitalG",7,fintech,"Stripe, Cummer ED, Tuam Municipal District, County Galway, Connacht, Éire / Ireland",53.441968,-8.884379489479763,"San Francisco, San Francisco City and County, San Francisco, California, United States",37.7790262,-122.419906
SpaceX,74.0,2012-12-01,United States,Hawthorne,Other,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures",8,other,"SpaceX, Long Beach, California, United States",33.743427749999995,-118.22362999525134,"Hawthorne, California, United States",33.9188589,-118.3483256
Klarna,45.6,2011-12-12,Sweden,Stockholm,Fintech,"Institutional Venture Partners, Sequoia Capital, General Atlantic",9,fintech,"Klarna, Sveavägen, Klara, Norrmalm, Norrmalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 111 34, Sverige",59.3370365,18.062595,"Stockholm, Stockholms kommun, Stockholms län, 111 29, Sverige",59.3251172,18.0710935
Instacart,39.0,2014-12-30,United States,San Francisco,"Supply chain, logistics, & delivery","Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund",6,"supply chain, logistics, & delivery",,37.7790262,-122.419906,"San Francisco, San Francisco City and County, San Francisco, California, United States",37.7790262,-122.419906
Revolut,33.0,2018-04-26,United Kingdom,London,Fintech,"index Ventures, DST Global, Ribbit Capital",3,fintech,,51.5073219,-0.1276474,"London, City of Westminster, England, SW1A 2DX, United Kingdom",51.5073219,-0.1276474
Nubank,30.0,2018-03-01,Brazil,Sao Paulo,Fintech,"Sequoia Capital, Redpoint e.ventures, Kaszek Ventures",3,fintech,"Nubank, 39, Rua Capote Valente, Cerqueira César, Pinheiros, São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, 05409-000, Brasil",-23.56104525,-46.67350527039888,"São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil",-23.5506507,-46.6333824
Epic Games,28.7,2018-10-26,United States,Cary,Other,"Tencent Holdings, KKR, Smash Ventures",2,other,"Epic Games, 3, Calle de los Vascos, Ciudad Universitaria, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28003, España",40.4471882,-3.7106673,"Cary, Wake County, North Carolina, United States",35.7882893,-78.7812081
Databricks,28.0,2019-02-05,United States,San Francisco,Data management & analytics,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures",2,data management & analytics,"Databricks Inc, 160, Spear Street, Financial District, San Francisco, San Francisco City and County, San Francisco, California, 94105, United States",37.7912946,-122.3935011,"San Francisco, San Francisco City and County, San Francisco, California, United States",37.7790262,-122.419906
Rivian,27.6,2019-09-10,United States,Plymouth,Auto & transportation,"Amazon, Ford Motor Company, Cox Automotive",1,auto & transportation,"Rivian, Normal, McLean County, Illinois, 61761-8000, United States",40.50995815,-89.05342365911213,"Plymouth, South West England, England, United Kingdom",50.3712659,-4.1425658
BYJU's,16.5,2017-07-25,India,Bengaluru,Edtech,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India",4,edtech,"Byju's, Hosur Road, Adugodi, South Zone, Bengaluru, Bangalore South, Bangalore Urban, Karnataka, 560030, India",12.9347423,77.6124007,"Bengaluru, Bangalore North, Bangalore Urban, Karnataka, India",12.9791198,77.5912997
